"marker","count"
"ADAM28","1"
"AHNAK","1"
"AID","1"
"AIM2","1"
"APRIL","1"
"B220","3"
"B2M","1"
"BACH2","1"
"BANK1","2"
"BCL11A","1"
"BCL6","1"
"BLNK","2"
"BP1","1"
"CALR","1"
"CC19","1"
"CCR7","2"
"CD10","3"
"CD11c","1"
"CD120","1"
"CD127","1"
"CD138","1"
"CD14","2"
"CD19","73"
"CD1C","2"
"CD20","11"
"CD21","3"
"CD22","4"
"CD24","2"
"CD25","1"
"CD257","1"
"CD27","7"
"CD28","1"
"CD3","2"
"CD37","1"
"CD38","6"
"CD40","2"
"CD43","1"
"CD45","6"
"CD45RA","1"
"CD5","2"
"CD52","1"
"CD56","1"
"CD70","1"
"CD71","1"
"CD72","1"
"CD74","5"
"CD79","2"
"CD79A","27"
"CD79B","14"
"CD80","1"
"CD81","1"
"CD86","2"
"CD95","2"
"CD99","1"
"CDC20","1"
"CDK1","1"
"CR1P1","1"
"CR2","1"
"CXCR4","1"
"FCER2","2"
"FCGR2A","1"
"FCRL1","2"
"FCRLA","1"
"FMC7","1"
"HLA-A","1"
"HLA-DOA1","1"
"HLA-DPB1","1"
"HLA-DR","1"
"HLA-DRA","1"
"IgD","3"
"IGHA1","2"
"IGHA2","1"
"IGHD","2"
"IGHG1","3"
"IGHG2","3"
"IGHG3","1"
"IGHG4","1"
"IGHM","3"
"IGJ","2"
"IGKC","2"
"IgM","4"
"IL10","1"
"IL4R","1"
"IL6","1"
"ITGB1","1"
"JCHAIN","4"
"JUNB","1"
"Leu-12","1"
"LILRA4","1"
"MKI67","1"
"MME","1"
"MS4A1","31"
"MZB1","2"
"NFKBIA","1"
"NR4A1","1"
"PAX5","2"
"PLPP5","1"
"PMAIP1","1"
"SPIB","1"
"SWAP70","1"
"T-bet","1"
"TCF4","1"
"TCL1A","2"
"TNFRSF13C","1"
"TNFRSF17","1"
"VPREB3","1"
"XBP1","1"
"YBX3","1"
"ZAP70","1"
"ZCCHC7","1"